stop_name,stop_code,stop_id,stop_lat,stop_lon,stop_url
Tarnowskie Góry Mickiewicza,2413041-01102,3627,50.4511,18.857464,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-01102/
Tarnowskie Góry Opolska,2413041-08501,8593,50.447426,18.84799,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-08501/
Tarnowskie Góry Opolska,2413041-08502,8594,50.447155,18.848486,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-08502/
Tarnowskie Góry Opolska,2413041-08503,8632,50.447987,18.84613,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-08503/
Tarnowskie Góry Osiedle Fazos,2413041-04201,2006,50.452763,18.839466,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-04201/
Tarnowskie Góry Osiedle Fazos,2413041-04202,2007,50.452324,18.840334,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-04202/
Tarnowskie Góry Park Wodny,2413041-07401,5876,50.439457,18.837158,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07401/
Tarnowskie Góry Plac Zembali,2413041-10201,9032,50.44682,18.863224,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-10201/
Tarnowskie Góry Powstańców Śląskich,2413041-07001,2409,50.447807,18.857096,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07001/
Tarnowskie Góry Powstańców Śląskich,2413041-07002,2410,50.44759,18.856495,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-07002/
Tarnowskie Góry Sienkiewicza,2413041-00901,3629,50.449596,18.86061,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00901/
Tarnowskie Góry Stara,2413041-00201,2743,50.44235,18.86822,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00201/
Tarnowskie Góry Stara,2413041-00202,2744,50.442486,18.867832,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-00202/
Tarnowskie Góry Szyb Staszic,2413041-09701,9025,50.422756,18.841928,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-09701/
Tarnowskie Góry Szyb Staszic,2413041-09702,9024,50.422573,18.841919,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-09702/
Tarnowskie Góry Torowa,2413041-05701,2516,50.427654,18.837608,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-05701/
Tarnowskie Góry Torowa,2413041-05702,2515,50.427334,18.837523,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-05702/
Tarnowskie Góry Towarowa,2413041-08801,8599,50.45593,18.846247,https://rj.metropoliaztm.pl/rozklady/przystanek/2413041-08801/
